row_num,nsn,mil_spec,nomenclature,tech_docs,solicitation,status,purchase_request,qty,issued,return_by
142,5340-01-666-3191,,"BRACKET, MOUNTING",None,SPE7L1-26-T-861Z,Open,7017573993,1,07-23-2026,08-03-2026
143,5340-01-435-8194,,"CLAMP, LOOP",None,SPE7L1-26-T-862B,Open,7017574198,2,07-23-2026,08-03-2026
144,5340-01-655-3802,,"DOOR, ACCESS, UTILITY",None,SPE7L1-26-T-862F,Open,7017574146,1,07-23-2026,08-03-2026
145,5340-01-629-1586,,"INCLINOMETER, INDUST",None,SPE7L1-26-T-862G,Open,7017574151,2,07-23-2026,08-03-2026
146,5340-12-380-6347,,BUMPER,None,SPE7L1-26-T-862L,Open,7016470874,35,07-23-2026,08-03-2026
147,5340-01-525-8105,,"SLIDE, DRAWER, EXTENS",None,SPE7L1-26-T-862M,Open,7017574089,1,07-23-2026,08-03-2026
148,5340-01-619-4719,,"DOOR, ACCESS, GENERAL",Tech Docs,SPE7L1-26-T-862R,Open,7016081966,7,07-23-2026,08-03-2026
149,5340-01-735-1417,,"BRACKET, MOUNTING",None,SPE7L1-26-T-862T,Open,7017529476,6,07-23-2026,08-03-2026
150,5340-01-696-7530,,"MOUNT, RESILIENT, UTI",None,SPE7L1-26-T-862W,Open,7017552623,1,07-23-2026,08-03-2026
151,5340-01-679-1074,,"CAP, PROTECTIVE, DUST",None,SPE7L1-26-T-863N,Open,7016483559,206,07-23-2026,08-03-2026
152,5340-01-701-5391,,"LOCK SET, RIM",None,SPE7L3-26-T-124Z,Open,7017562199,1,07-23-2026,08-03-2026
153,5340-01-518-5562,,"ROD, STRAIGHT, HEADLE",None,SPE7L4-26-T-5738,Open,7017584311,4,07-23-2026,08-03-2026
154,5340-01-112-7793,,"CLAMP, LOOP",None,SPE7LX-26-U-8925,Open,1000237623,208,07-23-2026,08-06-2026
155,5340-00-177-8078,,"COVER, ACCESS",Tech Docs,SPE7LX-26-U-8926,Open,1000237505,24,07-23-2026,08-06-2026
156,5340-01-661-2051,,"PLUG, PROTECTIVE, DUS",Tech Docs,SPE7LX-26-U-8929,Open,1000237704,1,07-23-2026,08-06-2026
157,5340-01-730-5672,,"CAP, PROTECTIVE, DUST",None,SPE7M0-26-T-016Z,Open,7017554710,2,07-23-2026,08-03-2026
158,5340-01-558-9644,,"ADAPTER, TIE DOWN",None,SPE7M1-26-U-4770,Open,1000237607,333,07-23-2026,08-06-2026
159,6210-01-618-9748,,"DRIVER, LIGHT EMMIT ING",None,SPE7M1-26-U-4801,Open,1000238079,129,07-23-2026,08-06-2026
160,7930-01-660-1605,,"KIT, CLEANING, SHIP",None,SPE8E5-26-T-3662,Open,7017585992,190,07-23-2026,08-03-2026
161,6210-14-523-9485,,"LIGHT, INDICATOR",None,SPE8E7-26-T-3378,Open,7017585662,199,07-23-2026,08-03-2026
162,6240-01-475-8238,,"LAMP, FLUORESCENT",None,SPE8E7-26-T-3379,Open,7017585454,9,07-23-2026,08-03-2026
163,6240-01-538-2211,,"LAMP, INCANDESCENT",None,SPE8E7-26-T-3380,Open,7017585138,42,07-23-2026,08-03-2026
164,6210-01-566-1729,,"LIGHT, INDICATOR",None,SPE8E7-26-T-3384,Open,7017585216,3,07-23-2026,08-03-2026
165,6210-01-664-0575,,"LAMP, LIGHT EMITTING DI",None,SPE8E7-26-T-3394,Open,7017586022,5,07-23-2026,08-03-2026
166,6240-01-353-9709,,"LAMP, INCANDESCENT",None,SPE8E7-26-T-3397,Open,7017592151,20,07-23-2026,08-03-2026
167,4130-01-622-3092,,"COMPRESSOR, REFRIGERATI",None,SPE8E8-26-Q-0438,Open,7016074773,1,07-23-2026,07-30-2026
168,4130-01-126-1760,,"CONNECTOR, AIR DUCT",None,SPE8E8-26-T-4778,Open,7017586034,12,07-23-2026,08-03-2026
169,4510-00-483-5639,,"FAUCET, DOUBLE",None,SPE8E8-26-T-4779,Open,7017586143,38,07-23-2026,08-03-2026
170,4130-00-814-0142,,"MANIFOLD, CHARGING A",None,SPE8E8-26-T-4780,Open,7017585201,26,07-23-2026,08-03-2026
171,4130-00-391-8811,,"CRANKSHAFT, COMPRESS",None,SPE8E8-26-T-4782,Open,7017586121,7,07-23-2026,08-03-2026
172,4130-01-252-0070,,"ADAPTER, VACUUM",None,SPE8E8-26-T-4785,Open,7017585777,24,07-23-2026,08-03-2026
173,4130-01-255-1985,,"COOLING COIL, AIR, DUCT",None,SPE8E8-26-T-4786,Open,7017585801,15,07-23-2026,08-03-2026
174,4510-01-276-1430,,"VALVE, PLUMBING FIXT",None,SPE8E8-26-T-4788,Open,7017585830,17,07-23-2026,08-03-2026
175,4510-01-501-7538,Mil-Spec,"FAUCET, DOUBLE",Tech Docs \*Spec/Stnd Only,SPE8E8-26-T-4796,Open,7017585358,58,07-23-2026,08-03-2026
176,4520-01-469-5585,,SHA DOOR STORAGE,None,SPE8E8-26-T-4797,Open,7017585289,161,07-23-2026,08-03-2026
177,4510-01-580-0376,,"DRAIN, FLOOR",None,SPE8E8-26-T-4799,Open,7017585253,6,07-23-2026,08-03-2026
178,4510-01-345-8948,,"NUT, WELDMENT",Tech Docs,SPE8E8-26-T-4801,Open,7017585905,153,07-23-2026,08-03-2026
179,4130-01-591-7060,,"FILTER ELEMENT, AIR CON",None,SPE8E8-26-T-4804,Open,7017585171,52,07-23-2026,08-03-2026
180,4520-01-602-4807,,"HEATING ELEMENT, ELEMEN",None,SPE8E8-26-T-4806,Open,7017585196,110,07-23-2026,08-03-2026
181,4520-01-619-5978,,"HEATING ELEMENT, ELE",None,SPE8E8-26-T-4807,Open,7017585875,7,07-23-2026,08-03-2026
182,4130-01-577-7077,,"CONDENSER, REFRIGERATIO",None,SPE8E8-26-T-4808,Open,7017585251,13,07-23-2026,08-03-2026
183,4520-01-592-2632,,"HEATING BLANKET, ELE",None,SPE8E8-26-T-4810,Open,7017585173,5,07-23-2026,08-03-2026
184,4130-01-511-6016,,"FILTER ELEMENT, AIR",None,SPE8E8-26-T-4811,Open,7017585389,23,07-23-2026,08-03-2026
185,4130-01-595-6356,,"FILTER ELEMENT, AIR CON",None,SPE8E8-26-T-4812,Open,7017585177,69,07-23-2026,08-03-2026
186,4520-01-469-5757,,SHA REAMER,None,SPE8E8-26-T-4815,Open,7017585290,230,07-23-2026,08-03-2026
187,4130-01-567-2032,,"FILTER ELEMENT, AIR CON",None,SPE8E8-26-T-4817,Open,7017585219,24,07-23-2026,08-03-2026
188,4520-01-590-0841,,"HEATING BLANKET, ELE",None,SPE8E8-26-T-4818,Open,7017585159,6,07-23-2026,08-03-2026
189,4120-01-657-9196,,"NRP, COMMAND MODULE",None,SPE8E8-26-T-4819,Open,7017585979,3,07-23-2026,08-03-2026
190,4520-01-675-3965,,"HEATING ELEMENT, ELE",None,SPE8E8-26-T-4820,Open,7017585925,1,07-23-2026,08-03-2026
191,4130-01-602-1062,,"FILTER ELEMENT, AIR",None,SPE8E8-26-T-4821,Open,7017585195,40,07-23-2026,08-03-2026
192,4130-20-007-9525,,"FILTER ELEMENT, AIR",None,SPE8E8-26-T-4822,Open,7017585664,51,07-23-2026,08-03-2026
193,4510-01-601-1511,,PLUMBING SUB-ASSY,None,SPE8E8-26-T-4824,Open,7017585193,28,07-23-2026,08-03-2026
194,4130-01-661-4544,,"FILTER MEDIA, AIR CO",None,SPE8E8-26-T-4826,Open,7017585994,15,07-23-2026,08-03-2026
195,4130-01-623-9976,,"FILTER ELEMENT, AIR",None,SPE8E8-26-T-4828,Open,7017574120,1,07-23-2026,08-03-2026
196,4130-00-830-7676,,VALVE PLATE ASSEMBL,None,SPE8E8-26-T-4830,Open,7017585202,26,07-23-2026,08-03-2026
197,4130-01-618-4810,,"COVER, AIR CONDITIONER",None,SPE8E8-26-T-4831,Open,7017585874,33,07-23-2026,08-03-2026
198,4510-25-163-2657,,"BOWL, WATER CLOSET",None,SPE8E8-26-T-4832,Open,7017585669,6,07-23-2026,08-03-2026
199,4520-01-527-6305,,"HEATING ELEMENT, ELE",None,SPE8E8-26-T-4833,Open,7017585110,9,07-23-2026,08-03-2026
200,4520-01-373-0533,,"LATCH, HEATER DOOR",Tech Docs,SPE8E8-26-T-4834,Open,7015858223,1,07-23-2026,08-03-2026
201,4130-00-032-5223,,CYLINDER SLEEVE,None,SPE8E9-26-T-3202,Open,7017585441,72,07-23-2026,08-03-2026
202,4130-01-205-3774,,"FILTER ELEMENT, AIR CON",None,SPE8E9-26-T-3213,Open,7017586138,8,07-23-2026,08-03-2026
203,4520-01-207-1159,,"HEATER, WATER, ELECTR",None,SPE8E9-26-T-3220,Open,7017586162,1,07-23-2026,08-03-2026
204,4130-01-164-1340,,HEAT EXCHANGER,None,SPE8E9-26-T-3224,Open,7017586194,2,07-23-2026,08-03-2026
205,4130-01-184-7391,,"CONDENSER, SPIRAL",None,SPE8E9-26-T-3225,Open,7017586225,9,07-23-2026,08-03-2026
206,4510-01-198-0338,,"FOUNTAIN, EYEWASH, EM",None,SPE8E9-26-T-3226,Open,7017586135,3,07-23-2026,08-03-2026
207,4130-01-504-0651,,"FILTER ELEMENT, AIR CON",None,SPE8E9-26-T-3228,Open,7017585380,883,07-23-2026,08-03-2026
208,4510-01-327-7785,,"FAUCET, SINGLE",None,SPE8E9-26-T-3232,Open,7017585754,67,07-23-2026,08-03-2026
209,4520-00-740-3428,,"HEATING ELEMENT, ELE",None,SPE8E9-26-T-3242,Open,7016936666,70,07-23-2026,08-03-2026
210,7025-01-671-2396,,"INTERFACE UNIT, AUTO",None,SPE8EN-26-T-2641,Open,7017585894,2,07-23-2026,08-03-2026
211,7025-01-641-1195,,DISK DRIVE UNIT,None,SPE8EN-26-T-2644,Open,7017585783,24,07-23-2026,08-03-2026
212,7025-01-349-6128,,"COUPLER, DIGITAL DATA",Tech Docs,SPE8EN-26-T-2645,Open,7017585909,44,07-23-2026,08-03-2026
213,0001S00000053,,CONTRACTOR FIRST ARTIC,None,SPE8EN-26-T-2645,Open,7017585909,See Solicitation,07-23-2026,08-03-2026
214,7025-01-686-0519,,"INTERFACE UNIT, AUTOMAT",Tech Docs,SPE8EN-26-T-2646,Open,7017585574,4,07-23-2026,08-03-2026
215,7025-01-708-4317,,CORE MEMORY UNIT,None,SPE8EN-26-T-2647,Open,7017585529,6,07-23-2026,08-03-2026
216,7025-01-623-7946,,"MEMORY UNIT, DATA ST",None,SPE8EN-26-T-2650,Open,7017585765,2,07-23-2026,08-03-2026
217,7025-01-605-4972,,"KEYBOARD, DATA ENTRY",None,SPE8EN-26-T-2651,Open,7017585827,16,07-23-2026,08-03-2026
218,7050-01-566-0685,,COMPUTER SUBASSEMBL,Tech Docs,SPE8EN-26-T-2652,Open,7017585215,21,07-23-2026,08-03-2026
219,7025-01-640-8657,,DISPLAY UNIT,None,SPE8EN-26-T-2653,Open,7017585782,3,07-23-2026,08-03-2026
220,7025-01-643-5420,,"RECEIVER, DIGITAL DATA",None,SPE8EN-26-T-2654,Open,7017585787,5,07-23-2026,08-03-2026
221,7050-01-659-4670,,COMPUTER SUBASSEMBL,None,SPE8EN-26-T-2655,Open,7017585991,3,07-23-2026,08-03-2026
222,7025-01-669-7339,,"MEMORY CARD, PERSONA",None,SPE8EN-26-T-2656,Open,7017585893,47,07-23-2026,08-03-2026
223,7050-01-698-8695,,"CONVERTER, DIGITAL T",None,SPE8EN-26-T-2657,Open,7017585627,6,07-23-2026,08-03-2026
224,7021-01-719-3034,,COMPUTER SUBASSEMBL,None,SPE8EN-26-T-2658,Open,7017585686,4,07-23-2026,08-03-2026
225,7025-01-728-8546,,DISK DRIVE UNIT,None,SPE8EN-26-T-2659,Open,7017585739,5,07-23-2026,08-03-2026
226,7025-99-507-3939,,BALL,None,SPE8EN-26-T-2660,Open,7017585682,20,07-23-2026,08-03-2026
227,7025-01-622-6180,,"TERMINAL, DATA PROCESSI",None,SPE8EN-26-T-2661,Open,7017585879,7,07-23-2026,08-03-2026
228,7025-01-708-6423,,DISPLAY UNIT,None,SPE8EN-26-T-2662,Open,7017585550,12,07-23-2026,08-03-2026
229,7025-01-615-5219,,DISK DRIVE UNIT,Tech Docs,SPE8EN-26-T-2663,Open,7017585870,6,07-23-2026,08-03-2026
230,7025-01-717-5029,,"STYLUS, DATA ENTRY",None,SPE8EN-26-T-2664,Open,7017585556,8,07-23-2026,08-03-2026
231,7025-01-664-7110,,"PROCESSOR, GATEWAY",None,SPE8EN-26-T-2665,Open,7017586024,12,07-23-2026,08-03-2026
232,7050-01-694-2565,,COMPUTER SUBASSEMBL,None,SPE8EN-26-T-2666,Open,7017585620,4,07-23-2026,08-03-2026
233,7025-01-722-5275,,DISK DRIVE UNIT,None,SPE8EN-26-T-2667,Open,7017585711,50,07-23-2026,08-03-2026
234,7025-01-733-2254,,DISK DRIVE UNIT,None,SPE8EN-26-T-2668,Open,7017585763,6,07-23-2026,08-03-2026
235,7025-12-391-3744,,"INTERFACE UNIT, DATA",None,SPE8EN-26-T-2669,Open,7017585648,10,07-23-2026,08-03-2026
236,7025-01-574-9308,,"KEYBOARD, DATA ENTRY",None,SPE8EN-26-T-2670,Open,7017574111,5,07-23-2026,08-03-2026
